question_id,question_content,question_tags
1008529,headache followed by nausea and dizziness dizziness worsened when sitting up nausea worsened when lying on stomach no sweating or fever any help,dizziness  perspiration  fever  headache  nausea  vertigo
1008599,after 3 weeks past my mcl surgery my doctor says my knee is fine  but i still feel a little instability  what does this means,bracing  surgery
1008633,i have been doing research from clinical trials  seems that lyrica causes weight gain much more often than neurontin yes,weight gain  lyrica  neurontin  gabapentin  clinical trial
1008839,37 weeks pregnant  strong regular period pain  lower back pain  vomiting  sore breasts and diarrhea  what could this be,back pain  vomiting  diarrhea  loose stools  dysmenorrhea  breast pain  low back pain  menstrual period  emesis  pain in the back
1008900,have grey foamy diarrhea for over a week with nausea have no gallbladder i suffer with ibs but this is different cant stop going help please,diarrhea  loose stools  nausea  irritable bowel syndrome  diet  brat diet  nutrition
1009017,tiny fleshcolored bump clusters on upper cheeks surrounds eyes  eyebrows entire foreheadnot itchy noswellingno change in makeupor anything not acne,acne  pimples  facial pimples  dermatology
100925,sudden swelling right side of neck had shrimp no known allergy what shoukd i do,hypersensitivity  allergies
1009318,i was told im astaph carrier  anytime i get a cut  sting or bite  i get an infection in that areaim going to be a grandmother in dec  should i worry,infectious diseases  staphylococcal infection
1009349,i have pain on touch on rt shoulder blade  it has shifted from near the spine  radiates to spine  pains smwhr deep when i bend neck  am a smoker  chest ct normal  can this be lung cancer what is this,sprains and strains  muscle strain  bone pain  cancer  lung cancer  tactile  sprain  ct of chest  computed tomography  ct scan
1009652,could i be pregnant i had sex in june and that is wheb i got my depoprovera shot july through august i bled  my breast have gotten bigger and im bloated,pregnancy test  sex  pregnancy  depo provera
1009870,unprtctive sex 17 aug  light period 25 only 2 daysnxt period came today  still light bt lot of crampsfreq urination  headache  fatigue pregnant,headache  lethargy  sex  urination  bladder  pregnancy  micturition  bladder infection  urine
1010197,hard immobile lump size of fingernail right on bone behind ear  not jaw slightly tender to touch mild ringing of ears a few weeks ago thoughts,immobility  tactile  fingernails
1010236,loud wheezing whistle like noise when breathing in  im a smoker no asthma what could it be thanks no chest pain or cough just loud noise,cough  asthma  chest pain  wheezing  inflammation  chest pressure  chest tightness  cancer  angina  noisy breathing
1010291,mri states severe bilateral neural foraminal encroachment with l4 and l5 nerve root compression  have had esi no help severe pain gait and motoring issuesspinal surgeon says see neurologist what sho,surgery  diskectomy  discectomy  computed tomography  anesthesiology  neurology  nerve  mri  motor  magnetic resonance imaging
1010674,pain above  below eyes  w  clear post nasal drip flonaze helps with congestion and relieves pain does this mean that i have a sinus infection,sinusitis  post nasal drip  flonase
1011002,im getting a coranary cta this week doc said it will show arteries  heart will this show if i had a heart attack or plaque build up in arteries,heart attack  cardiac arrest  myocardial infarction  electrocardiogram  cta  plaque  artery
1011057,knee brace too tight and after prolonged use calf feels tight and swollen should i get a new one,knee brace  braces
1011077,have a mole on arm 3 x 3 mm mostly uniform colour with a little lighter spot in the middle recently noticed that it has become a bit raised cancer,moles  cancer  biopsy  dermatology
1011196,blood tests shows high gamma globulin  high igg ifx shows no monoclonal protein  free light chains are within normal range what does this mean,painful joints  arthritis  rheumatoid arthritis  ra  inflammation  sarcoidosis  number of pregnancies  electrophoresis  protein electrophoresis  rheumatism
1011205,sharp pain in my left shoulder blade back radiating to my left breast  left arm  neck no breast lumps and breast does not hurt when its being touched,physiotherapy  physical therapy  nerve
1011328,causes for intermittent pain in abdomen just below breast bone through to the back and in the left shoulder blade,bladder problems  bladder pain  stomach problems  bladder
1011476,2mm mole no longer there dr said its fine but i worry its melanoma faded over a year ago not sure of exact location what do i do,wounds  moles  skin cancer  melanoma  tanning  dermatology
1011607,survival for 42yr woman  breast cancer both breasts  no smoking  drinking 2 children pat grandmother and aunt died from itearly stagenipple invert slowly from breast feeding over 9yrssaw dr,breast cancer  breast carcinoma  cancer  smoking  children  breastfeeding  feeding  medical oncology
1011980,nauseas  cramps  abdominal pains  14 days late period  ive always had unprotected sex with my fianceedid a pregnacy home test and there negative,nausea  delayed menstrual period  pregnancy  sex
1012441,is chest pains   headaches   being dizzy and frequent urination and fatigue and lower abdomnal pains signs of pregnancy,chest pain  dizziness  headache  polyuria  lethargy  frequent urination  pregnancy  micturition  home pregnancy test  urination
1012445,is chest pains   headaches and frequent urination and fatigue signs of pregnancy   or can it just be side effects from my depoprovera provera shot,chest pain  headache  frequent urination  lethargy  polyuria  micturition  pregnancy  provera  urination  depo provera
1012458,im supposed to be 7 weeks pregnant my hcg levels is 1500but nothing in my transvaginal ultrasound,hallucination  transvaginal ultrasound  sonogram  pregnancy
1014179,i fell on  my knee and now it hurts and now it feels like i have water sensation running down my leg i have bad sciatic problems and can barely walk,orthopedic surgery  running  gait
1014572,joint pains all over body  stiffness doctor have done esr  cbc  abdominal ultrasound  chest x ray  ekg  urine test all came back normal,stiffness  autoimmune disease  rheumatology  xray of chest  urine  immunology  sonogram  esr  electrocardiogram  complete blood count
1014907,my mom weight is 86 kgs her knee xray shows no gaps between two bones in both knees doctors suggested for knee replacement at 48 yrs age is it good,artificial joint  roentgen rays  knee replacement
1014921,sore throat for 11 days no fever flu chest pain on both sides intermittently which increase on pressurefor last 2 days  my stool has been dark green plus very anxious lately due to health concerns,bacterial infections  feeling anxious  throat pain  chest pain  nervousness  sore throat  fl  fever  anxiety disorder  chest tightness
1015169,very sexually active  no period last month   negative pregnant test  period 3 days late whats going on,urine  pregnancy test  hormone  pregnancy
1015295,elbowed near the temple front top of right ear 4 days ago small bump  pain to touch little discomfort in right eye during mornings hurts to put pressure no bruise no dizziness or black out,dizziness  unconsciousness  syncope  vertigo  tactile  concussion
1015316,i have almost constant shimmering wavy vision sometimes objects move up  down i feel like i cant focusi also have vertigo and pulsatile tinnitus,dizziness  vision  ent and head and neck surgery  ear nose and throat  neurology  vertigo  tinnitus  ringing in ears  ophthalmology
1016380,headaches  dizziness  nausea  feeling of vomiting  gassy  sleepy tired what can it be,dizziness  drowsiness  flatulence  vomiting  headache  nausea  vertigo  pregnancy  emesis  urinalysis
1016663,i have a red bump under my eyelid that hurts  is swollen and itches at times what is it and how do i cure it fast,eye pain  chalazion  hordeolum
1017862,what could a red itchy rash on knuckles and elbows be,itchy rash  rash  skin rash  psoriasis  dermatology
1018122,what does it mean if you have trace of albumin in your urine,urine  albumin
1019841,am i likely to get facial acne when my sexual partner has it,acne  pimples  bacteria  benzac  benzoyl peroxide  clearasil  facials  facial pimples  desquam
1020398,can an infected tooth give you a sore throat or make you dizzy,throat pain  sore throat  dizziness
1022247,i have vaginal discharge but i do not have itching or burning or an std  what is wrong,sexually transmitted diseases  sexually transmitted infections  std  vaginal discharge  burning with urination  gynecologist  gynecology  micturition  obstetrics and gynecology  sex
1022611,is a pimple on your penis considered a std,warts  verruca  sexually transmitted infections  std  herpes  pimples  syphilis  genital warts
1022895,is it normal to have a small pimple on your nipple that itches,pimples
1023618,my boyfriend has a non itchy rash on his groin area now im getting it under my breasts  what to do,itchy rash  rash  skin rash  dermatology
1024250,small lump after breast biopsy  is it a hematoma,necrosis  hemorrhage  heavy bleeding  breast biopsy  biopsy
1024264,snoring problem  what to do,snoring  sleep apnea  apnea  snoring  sleep  sleep medicine
1025099,ekgs goodshows normal heartbeat  just fasttaking atenololecho shows normal functionstress test normalchest xray ok and blood workheart ok,stress  xray of chest  stress test  tenormin  roentgen rays  echo  atenolol
1025184,i have on blister on my neck near a  swollen lymph node there is a burning pain there and parts of my body burn and itch one blister on  my shoulder,dermatology  burns  burning pain
1025475,tender  swollen  red  lymph node under arm opposite arm then received flu shot in 2 days ago related,fl  flu shot
1025502,if i am a candidate for macoplasty surgery on my knee opposed to having a full knee replacement is macoplasty have good results what do you think,total knee replacement  surgery  knee replacement
102552,is treadmill test good enough to rule out possible coronary artery and heart disease,heart diseases  artery  cardiac catheterization
1025691,mom 83 has good blood pressure  no diabetes  active  grf of 40 now high creatine  normal urine how serious is this please some good news,diabetes  diabetes type 2  urine  creatine  blood pressure
1026002,cavities on molars and wisdom tooth fixed 3 weeks later jaw still sore and painful ibuprofin not very helpful or for very long pain has gotten worse,caries  tooth decay  dentistry  nerve  ibuprofen  dental caries  root canal
1026327,period due on 2709  but spotting started just 2 days ago sharp ovary pain on the 2009  bloating  sore breasts just on that day  ovulation cyst,abdominal bloating  menses  irregular periods  breast pain  ovulation  dysmenorrhea  menstrual period  home pregnancy test  pregnancy  menstrual
1026732,pressure in head when laying down to sleep  mostly in forehead   near eyes and nose sides of head as well  no other symptoms noticed so far,sinusitis  sleep
1027407,what to do for shooting pain from hip joint along hip flexor or from knee to hip on same leg  not constant  but occassional when exercising,nerve  workout
1027601,my legs are really itchy 2days now yet no rash a small rash shows once ive scratched but they wont stop itching,rash  skin rash  dermatology
1027715,can having gerd and oesophagitis with a small hitus hernia in the upper stomach chest etc cause either breathless and pressure like symptom bloating,reflux  abdominal bloating  breathlessness  esophagitis  gastroparesis  hernia  gastroesophageal reflux disease  diet  gastroenterology
1027980,tickly throat overnight blood in phlegm  not coughed up drawn uptemperature  stuffy nose  particularly behind eyes sinusitis when to see doctor,stuffed nose  sinusitis  cough
1028182,what are the survival rates for a stage three breast cancer patient going to chemo and following doctor orders and what to expectsymptoms etc,breast cancer  breast carcinoma  cancer  chemotherapy  medical oncology
1028260,bad itching in caruncle  superior +inferior lacrimal punctum  n dryeyes md said allergy  but no meds work on me  dont use eye makeup  lenses 7monthshelp,hypersensitivity  blepharitis  eyelid swelling  baby shampoo  washing  antibiotic  makeup  zaditor  allergies
102840,knee arthroscopic surg aug9 cannot walk do house chores w o major pain oa  49 do i need injections or knee replacement pain moves around kneecap,osteoarthritis  gait  arthroscopy  knee replacement
1028494,i get a shooting pain on left breast    should i get mammogram,digital mammogram
1028946,i have a thick callus on my foot and it has been there about 3 weeks cut like border is growing on one side and there is pain what is it erase it,podiatry  antibiotic ointment  antibiotic  callus
1029094,does low testosterone cause to sleep apnea or does sleep apnea cause low testosterone,obesity  sleep apnea  apnea  sleep  erection  testoderm  low testosterone  testosterone  androgen  androderm
102943,congestion  runny nose  sneezing what symptoms make allergies more likely diagnosis,rhinitis  itchy eyes  hypersensitivity  adhd  child allergies  allergies  runny nose
1029540,can i take acetaminophen and ibuprofen at the same time after running a marathon to combat pains and how much of each is safe to take at the same tim,tempra  running  rufen  panadol  nuprin  motrin  marathon  ibuprofen  advil  acetaminophen
1029968,swollen knee for a week cant squat or bend my knee wont support it pain  no injury i didnt fall noticed the pain getting off couch week ago,painful joints  arthritis  gout  knee swelling
1030232,my ankle  knee  and elbow is swelling at the joints the pain is excruciating what could this be,painful joints  arthritis
1030557,my doc wont send me for a colonoscopy even though blood was detected in my stool what should i do,feces  colonoscopy
1030670,i have pain and soreness directly under the left breast near the top of the rib cage  i had a lumpectomy 4 years ago on the left side of breast just,inflammation  breast cancer  breast carcinoma  cancer  costochondritis  cartilage  breast biopsy  biopsy  lumpectomy
103094,epstein barr virus related to other diseases besides mono,arthritis  epstein barr virus  human immunodeficiency virus  multiple sclerosis  systemic lupus erythematosus  mono  immune diseases  lymphoma  cancer  hodgkin disease
1031078,feeling of internal trembling chest pain when moving in my left breast chest area swollen gland in throat heartburn occasionally rapid hr causes,stress  chest pain  feeling anxious  heartburn  indigestion  trembling  chest tightness  chest pressure  angina  exercise
1031279,i took the one dose treatment of azrithromycin for chlamydia the smells gone away  but i still have itching and discharge after 3 days is it normal,yeast infection  chlamydia infection  yeast  antibiotic  candida
1031421,i think i broke my nose it hurts to touch and when i tilt my head i feel pressure on my nose it didnt bleed and i think it happened in my sleep,tactile  sleep
1031425,does the liklihood of pregnancy increase from starting a new birth control pack 1 day late sex last day of period ovulate after missing 1 pill,ovulation  pregnancy  sex  pregnancy test  contraception  birth control
1031939,its been one month im feeling dizziness   head spining  nausea  ears and eyes pain  low blood pressure i dont understand wht is going on with me,dizziness  nausea  abnormal blood pressure  hypotension  low blood pressure  spinning  blood pressure  vertigo
1031989,son was seen yesterday with bad ear infection and ruptured ear drum and today he says he cant hear out of if what should i do,ear infection  ent and head and neck surgery  nerve  pediatric ent and head and neck surgery  ear nose and throat  rupture  otitis media  pediatrics
1032165,severe abdominal pain on right side  blood tests show elevated wbc  liver and pancreas enzymes ct normal no appetite  tender to touch ideas,abdominal discomfort  appetite  abdominal pain  pancreatitis  severe abdominal pain  belly pain  white blood cell  tactile  ct scan  computed tomography
1032563,i had a flu shot about a week ago i now have bad sinus pressure  sneezing  runny nose  and headaches also very sleepy no fever  though any idea,rhinitis  fl  sinus pain  fever  drowsiness  influenza  headache  immunization  runny nose  upper respiratory infection
1032632,had spotting for 2 days september no blood  then got bleeding 2 weeks early before my regular period why ps i was sexually active in september,irregular periods  dysmenorrhea  pregnancy test  pregnancy  menstrual period
1033178,i have sprained or strained an old injury to  the inside back of the leg that starts behind and above the knee and goes up the leg what do i do for it,nsaids  sprain
1033374,dr says ear infection  gave leviqun  motrin still in a lot of pain 2 days later in ear jaw  upper  lower teeth could it be a tooth problem,ear infection  dental pain  tooth pain  otitis interna  dentistry  otitis externa  otitis media  motrin  ibuprofen  wisdom teeth
1033402,last 7 days i have had a numbness  burning sensation in my right arm and foot also pins  needles had it before and went away after a little physio,stress  epilepsy  burning sensation  numbness  seizure disorder  convulsion  seizure  neurology
1033672,what are other strong medicine besides seroquel to sleep i take 200mg of seroquel gained weight i had a sleep study as a child i tried trazadone,weight gain  trazodone  asenapine  antipsychotics  saphris  sleep study  sleep  seroquel  quetiapine  children
1033765,ive only got the depoprovera shot twice i missed my third shot and have had unprotected sex since is it possible that i can get pregnant,ovulation  condoms  ella  contraception  levonorgestrel  birth control  sex  pregnancy  fertility  depo provera
1033817,what the difference between amoxicillin and clindamycin,bacterial infections  clindamycin  antibiotic  bacteria  cleocin  amoxil  amoxicillin
1033871,symptoms: burp a lot constipation urine a lot dizzy hungry  chest pains are signs of pregnancy but i had sex only 2 months into my shot can i be preg,constipation  chest pain  belching  dizziness  pregnancy  sex  urine  menstrual period
1034536,my dr put me on xanax celexa larzartin celexa  xanax take 2gether@nite morn i take larzartin  xanax still feel sleepy morn whats best anxiet depres,drowsiness  feeling anxious  sonata  xanax  sleep  citalopram  celexa  anxiety  alprazolam
1034937,im having itchy skin rashes  chills  swallon lymph nodes  nausea  low left stomach pain  fatigue body pain joint pain hair loss  headaches  eye redness,stomach pain  headache  skin rash  red eye  rash  nausea  joint pain  baldness  lethargy  stomach discomfort
103498,i am 30 years old having knee pain and stiffness while squatting and arising,knee pain  stiffness  squatting
1034980,left side of my vagina is swollen  should i be worried a few weeks ago i had a bad uti  antibiotics led to yeast infection my hymen looks bad too,yeast infection  yeast  candida  antibiotic
1035106,husband w  rash on back arms  3 daysnot painful or itchyred spots with white center  320mm benadryl didnt helpwont go to md seriouscontagious,skin rash  rash  rash on back  red spots  diphenhydramine  benadryl
1035167,went to ent for clogged ringing in ear said ear looked fine did hearing test and gave steroid for slight hearing loss what causes this is steroid safe,hearing loss  hearing test  steroids  tinnitus  ent and head and neck surgery  ear nose and throat
1035442,had lami l5 4 1 yr ago was ok  now pain down rt leg w no compression grinding in lwr back  muscle cramps on rt bulges to lft l345 whats going on,herniated disk  bulging disk  surgery  orthopedic spine surgery  muscle cramps
1035509,if you get throat vaginal swabs for chlamydia and gonorrhea and it comes up negative  should you get a separate test for the rectum,std  gonorrhea  chlamydia infection  sex
1035573,i gave blood  since then i am  dizzy  chest discomfort  high heart rate and fever low bp is this normal  after giving blood i have svt and afib,fever  dizziness  low blood pressure  rapid heart beat  atrial fibrillation  supraventricular tachycardia  abnormal blood pressure  hypotension  blood pressure  heart rate
1035651,sever sore throat pain early morning was feeling something in throat no cough fever breath shortness while gargling blood with mucus phlegm only once,cough  fever  sore throat  throat pain  streptococcal infection  rheumatic fever  dna
103591,i have foot calluses or corns can i cut them off myself,corns  corn allergy  incision  callus
103599,i have hand foot and mouth disease from my 3 yr old how many days is it contagious for,rash  hand foot mouth disease  virus
1036071,head pressure  body ache  soar throat  ear ache  fever temp is 1008 and still feel cold even under a blanket could it be a cold or flu etc,fl  fever  earache  body aches  common cold
1036402,i have livedo reticularis  bulging veins  nonhealing body acne  off on fever  gi bleeds  diarrhea alt w constip  migraines  shocks of pain neck lymph nodes no ibd  ana negative any common cause,acne  fever  diarrhea  pimples  loose stools  inflammatory bowel disease  livedo reticularis  migraine  shock  facial pimples
1036994,cause of amber reddishorange mucus rectal discharge for several months its on stools  sometimes comes out on its own gi workup = stomach erosions  prominent lymph aggregates in colon  dxd w ibs,constipation  irritable bowel syndrome  stool studies  intestine  endoscopy  proctosigmoidoscopy  bowel  sigmoidoscopy  gastroenterology  feces
103725,ive been having mild chest pains  shortness of breath  and now my throat feels swollen virus or bacterial or other,chest pain  breathlessness  difficulty breathing  bacteria  virus
1037729,sore throat  cough  runny nose  low grade fever,rhinitis  sore throat  throat pain  fever  cough  runny nose  low grade fever  virus
1037751,will a cat scan of my head rule out ms or a brain tumor better than mri had one before but am having another one due to vertigoim 18am i in danger,dizziness  multiple sclerosis  neoplasms  cancer  brain tumor  gamma rays  vertigo  mri  magnetic resonance imaging  irradiation
1037866,white bump on lower lip for almost a year seems to be under the skin have tried picking it off but grows back within weeks could it be a wart,wounds  warts  verruca  dermatology
1038071,how to know if you had an allergic reaction to anxiety meds through iv xanax  ativan  and morphine for chest arms feel heavy i went to er 4 times,feeling anxious  depression  allergic reaction  morphine  psychopharmacological treatments  xanax  central nervous system  ativan  anxiety  alprazolam
1038345,what can i do to easy the pain in my knee from bakers cyst,torn meniscus  ubakers cyst
103865,is it sinus  migraine  vertigo  or something else when you are congested  with headache and a bit dizzy,sinusitis  dizziness  headache  migraine headaches  migraine  vertigo
1038679,9weeks pregnant 23 y having severe headache   heart burn and dizziness,dizziness  headache  indigestion  heartburn  severe headache  famotidine  pepcid  hydration  mylanta  aluminum hydroxide and magnesium hydroxide
1039045,whats the best way to treat knee pain i had arthroscopic surgery april of 2012 and now my knees are bothering me now than they every did before,knee pain  surgery  arthroscopy  arthroscopic surgery
1039339,whats causing this burning sensation in pad of thumb no burn  cut  swelling  bleeding  or blister just a slightly darker spot under surface size of eraser pain very small  local  but intense,burning sensation  burns  foreign body
1039536,my 11 year old daughter has constant gas  bloating  stomach cramps and diarrheacould this be an intolerance to dairy,lactose intolerance  abdominal bloating  diarrhea  loose stools  stomach cramps  lactose
1039744,i had sex when ovulating last month  but i had a period but now spotting a week before my next period  negative blood test but all signs of pregnancy,ovulation  pregnancy  sex  hormone  menstrual period
1040264,scared about my heart  normal ekgs  echo  stress test  chest xray and blood work normal should i have any reason to fear high anxiety,feeling anxious  stress  roentgen rays  stress test  xray of chest  echo  anxiety
1040521,does a completely removed potential precursor to malignant melanoma atypical nevus return in same place does it return as a malignant melanoma,wounds  moles  skin cancer  melanoma  malignant melanoma  dermatology
1040640,general weakness  pain  blury vision  brain fogs  knee leg weeknes  internal tremor  whole spine pain  fatty liver  1mm cervical  2mm lumbar disk  neuropathy,back pain  tremor  neuropathy  shakes  nerve damage  fatty liver  vision
1040724,can masturbation causes small white head looking bumps to show up on the penis,acne  masturbation
1040877,i spotted this mole six months ago since than the dark layer fell once  and grew back  again but it never grew in size is it potentially melanoma,moles  skin cancer  melanoma
1040925,i had an ovarian cyst open surgery 2 years back and have 99994 temp since then which makes me tired and body aches occur is it normal,lethargy  ovarian cyst  body aches  surgery
1041168,what could cause patella tendon pain in a knee replacement,implant  exercise  knee replacement
104119,pain behind eyes and headeache  tight neck  on and off earaches  can sinus infection cause tight neck,fever  headache  earache  sinusitis
1041191,holter shows 17  000 pvcs ep says do nothing  meds  or ablation father of 2  now scared about future heart failure surgery should i be worried,heart failure  holter monitor  surgery  ablation
104198,is a big prostate the only reason for experiencing urinary hesitancy  weaker urine stream,urethral stricture  enlarged prostate  urinary hesitancy  bladder  polyp  male health  urine  urology
1042172,bad odor coming from vagina 3 weeks after unprotected sex was tested for std 2 weeks ago what could this be from no discharge just smell,std  sexually transmitted infections  sexually transmitted diseases  trichomonas  bacteria  metrogel  metronidazole  probiotic  sex
1042392,it burns when i pee and my vagina is itchy with discharge could it be a yeast infección,yeast infection  herpes  genital herpes  ulceration  allergic reaction  allergies  bladder  bladder infection  scratching  yeast
1042448,20 yrs ago i had warts that were treated now 2013 my pap came back abnormal and postive hpv im wondering i have had normal paps why now abnormal,warts  pap smear  hpv
1042481,can digoxin be used in patient with irregular heart beat while the patient also suffering from hypotensionplease help,high blood pressure  arrhythmia  abnormal blood pressure  low blood pressure  hypotension  baby low blood pressure  digoxin  digitek  blood pressure  hypertension
1042564,will is oa make knees swell like grapefruitsevere pain no walking happens often not goutwho do i seeallergic nsaids aspirin plz advisethx,gout  halfprin  nsaids  osteoarthritis  rheumatology  bayer  aspirin
1043292,my colon feels sore and is painful when i have a bowel movement but my stool has no blood and mostly good color i do get constipated,constipation  abdominal pain  abdominal discomfort  colonic  colonoscopy  feces  bowel movement  bowel  gastroenterology  intestine
1043417,my 3 yr old twin boys were prescribed augmentin for what the doctor says in a sinus infection is it possible for them to have that at this age,sinusitis  drooling  bowel movement  feces  augmentin  amoxicillin and clavulanate
1043440,my first ultrasound for pregnancy doc told me there is a nondevelop sac of 4 weeks shd b 6 weeks i went through hcg level its in rang of 5to 6 weeks,pregnancy loss  sonogram  spontaneous abortion  pregnancy  hcg level
1043479,i had a sore throat last week  hurt to swallow  glands swollen  sore neck  it went away and now its back feels like theres something back there help,sore throat  strep throat  throat pain  swollen tonsils  streptococcal infection  sodium  chamomile tea  aloe lotion  honey  using aloe
1043523,ive had nausea for 2 weeks every day  some pinching stabbing pain on my sides  ive been exhausted and dizzy period was brown and light neg hpt,dizziness  nausea  gastroenterology  chronic nausea  pregnancy  pregnancy test
1044189,my 66yr old mother has been diagnosed with scleroderma she has raynauds too what should we be expecting as a family and how can i help her,raynauds  dermatosclerosis  scleroderma  rheumatology
104564,left side chest pain w no other symptoms  4 months feels almost like tearing when i exhale blood work  ekg  and chest xray r fine what could it b,chest pain  watery eyes  lacrimation  chest tightness  chest pressure  inflammation  angina  clear fluid leaking from the vagina  ct of chest  xray of chest
1045711,red spot on left breast almost on the areola just appeared 2 days ago tender to touch  itches and alittle warm could it be a bug bite or see a dr,tactile  insect bite
1046257,will eating melatonin before sleep every night 1mg sublingual affect my testosterone levels because i really cant fall asleep and i need it,testosterone  testoderm  sleep  melatonin  androgen  androderm
1046410,wife  experiencing bright red rectal bleeding she has been diagnosis with hemorrhoids  but this time it is excessive is there an immediate risk,rectal bleeding  hemorrhoids  anal swelling
1046442,i bled a week early my breasts are sore  ive noticed way more bumps around my nipples neg hpt  day of expected period could i still be pregnant,pregnancy  home pregnancy test
1046637,what could this be f  age 37 wbc: 68  rbc: 479  hb: 115  hct: 371  mcv:78  mch: 24  mchc: 31  rdw: 172  fe: 36 bone loss  hair loss  seizure,baldness  hair loss  bone loss  seizure  convulsion  iron  white blood cell
1046709,suffering frm 3mthstingling n radiating pain in legs resolveddull achey pain in mid buttocks persists n increases wit lil extra activity or excersie,leg pain  tingling  exercise
1047187,i started a one time vaginal insert for yeast infection and it is kind of making the inside of my vagina burn  and the outside too is it normal,yeast infection  yeast  candida  burns
1047620,dark bloody bms 2 weeks w alternating diarr const persistent ulq pain worse w pressure lower abs crampy mild temp  sore lymphs in breast  armpit  night sweats gi ruled out ibd missed diagnosis or what,night sweats  inflammatory bowel disease  sweating at night  gastroenterology
1048020,at 32 weeks pregnancy my baby developed mild ventriculomegaly  mega cisterna magna torch is good except it is + for cmv igg and  for igm any conect,pregnancy  immunoglobulin m
1048211,my breast feels heavy and my nipples are itchy and sore what does that mean,
1048317,i am taking buproprion xl  and i should not take cipro i have a uti  and in the past only cipro cleared it up bactrim ineffective what can i take,urinary tract infections  ciprofloxacin  ciprofloxacin  cipro  bupropion  bactrim
1048632,hand tremors  weakness  vision problems  fatigue  mood swings depressed mood  stressed  dizziness  loss of balance trouble concentrating  focusing,mood changes  difficulty concentrating  stress  tremor  dizziness  depression  vision problems  mood swings  emotional instability  lethargy
104864,band of pressure around eyes is that just headache or a sign of sinus infection,headache  sinusitis  glaucoma  eye health  oxymetazoline
1048991,hello my baby is 6 months and he start to have the flu is nose is runny he caugh and sneeze what should i do thanks,influenza  fl  cough
1049208,is there a difference between stressrelated chest  arm discomfort and exerciserelated chest heaviness and a choking sensation in the throat,stress  choking  choking feeling  exercise
1049267,i took about 250  mg of dextromethorpan and zoloft 125 mg and 100 mg of trazadone  will this cause serotonin syndrome  im worried help,serotonin syndrome  sertraline  trazodone  zoloft  serotonin  dextromethorphan
104935,can staph infection eat all the way to the bone,staph infection  staphylococcal infection  orthopedic surgery
1049926,i have persistent strong allergys that accores all day  i never had allergys this strong symptoms: nasal congestion  watery eyes  runny nose  sneezy,rhinitis  watery eyes  congested nose  stuffed nose  blocked nose  runny nose  allergies
1050354,would an abdominal ct scan show ulcers  gallstones or hernia they found kidney stone on left kidney but right side hurts to  could be back  or muscle,ulceration  hernia  gallstones  ct scan  ct of abdomen  computed tomography
1050504,do i need to be concerned with a consistent resting heart rate of 100 blood pressure is usually 110 80,heart rate  blood pressure
1050842,my pap smear comes out negative buy my boyfriend came out with hpvgenital warts i get a yeast everytime we have sex what should i do,warts  sexual intercourse  pap smear  sex  yeast  hpv  genital warts  cervical smear  candida
1051666,i have headache like pressure in the sides of my head ache my doctor think its from depressed but i dont think it is sometimes i feel a little dizzy,headache  dizziness  depression  melancholia
1052418,i have been taking minocycline 75mg twice daily for acne i was recently told by a previous sexual partner that she has chlamydia should i worry,acne  pimples  chlamydia infection  minocycline  facial pimples
